id,href,img,type,age,gender,size,health,breed_俄羅斯藍,breed_博美,breed_古代牧羊,breed_吉娃娃,breed_哈士奇,breed_巴哥,breed_拉布拉多,breed_挪威納,breed_摺耳貓,breed_暹羅,breed_柯基,breed_柴犬,breed_梗犬,breed_比熊,breed_比特犬,breed_法鬥,breed_波斯貓,breed_牛頭梗,breed_狐狸犬,breed_異國短,breed_秋田,breed_米克斯,breed_約克夏,breed_美短,breed_臘腸,breed_英短,breed_蝴蝶犬,breed_西施,breed_西高地,breed_貴賓,breed_迷你杜賓,breed_迷你貝吉格里芬凡丁,breed_邊牧,breed_金吉拉,breed_阿拉斯加克利凱,breed_雪納瑞,breed_馬爾濟斯,breed_黃金獵犬,color_三花,color_棕,color_灰,color_白,color_米,color_虎斑,color_黃,color_黑,target,target_log
741,https://www.facebook.com/photo/?fbid=3157925247608377,104414508_3157925254275043_1977253840469205848_n.jpg,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,54,4.007333185232471
706,https://www.facebook.com/photo/?fbid=2605690662831841,72708152_2605690666165174_6883638905292193792_n.jpg,1,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,24,3.218875824868201
153,https://www.facebook.com/photo/?fbid=3670567776344119,131682441_3670567783010785_4727184530922641993_n.jpg,0,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,4.07753744390572
451,https://www.facebook.com/photo/?fbid=3275861659148068,116737536_3275861665814734_766407913461452626_n.jpg,1,2.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,132,4.890349128221754
906,https://www.facebook.com/photo/?fbid=710769144418525,488643776_1089603513201751_5018195045496793668_n.jpg,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,10,2.3978952727983707
587,https://www.facebook.com/photo/?fbid=679234080905365,487540595_1085141760314593_3555137907322480103_n.jpg,1,0.29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,225,5.420534999272286
61,https://www.facebook.com/photo/?fbid=2228955873838657,54518801_2228955877171990_3704436501417820160_n.jpg,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,17,2.8903717578961645
525,https://www.facebook.com/photo/?fbid=4571047972962757,476161474_9302344453166395_6250015813212651922_n.jpg,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,30,3.4339872044851463
701,https://www.facebook.com/photo/?fbid=2530071620393746,70119440_2530071623727079_759099761209901056_n.jpg,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,36,3.610917912644224
576,https://www.facebook.com/photo/?fbid=568810215281086,485137643_1074979101330859_4218508045173686773_n.jpg,1,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,3.258096538021482
