id,href,img,type,age,gender,size,health,breed_俄羅斯藍,breed_博美,breed_古代牧羊,breed_吉娃娃,breed_哈士奇,breed_巴哥,breed_拉布拉多,breed_挪威納,breed_摺耳貓,breed_暹羅,breed_柯基,breed_柴犬,breed_梗犬,breed_比熊,breed_比特犬,breed_法鬥,breed_波斯貓,breed_牛頭梗,breed_狐狸犬,breed_異國短,breed_秋田,breed_米克斯,breed_約克夏,breed_美短,breed_臘腸,breed_英短,breed_蝴蝶犬,breed_西施,breed_西高地,breed_貴賓,breed_迷你杜賓,breed_迷你貝吉格里芬凡丁,breed_邊牧,breed_金吉拉,breed_阿拉斯加克利凱,breed_雪納瑞,breed_馬爾濟斯,breed_黃金獵犬,color_三花,color_棕,color_灰,color_白,color_米,color_虎斑,color_黃,color_黑,target,target_log
185,https://www.facebook.com/photo/?fbid=4014174475316779,177286631_4014174478650112_2282042854726196876_n.jpg,0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,3.9318256327243257
674,https://www.facebook.com/photo/?fbid=1957570567643857,41298624_1957570570977190_2233581812251099136_n.jpg,1,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,196,5.2832037287379885
442,https://www.facebook.com/photo/?fbid=3034695566598013,95916695_3034695573264679_7268884466582421504_n.jpg,0,0.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,3.5263605246161616
564,https://www.facebook.com/photo/?fbid=5505430476191164,487130667_9600099100057594_3040173087988971723_n.jpg,0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,3.49650756146648
817,https://www.facebook.com/photo/?fbid=4245401732194051,469594294_8974267489307428_7136787604891292641_n.jpg,0,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,74,4.31748811353631
831,https://www.facebook.com/photo/?fbid=4484920298242192,474863031_9237445022989672_7126519336731834418_n.jpg,0,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,44,3.80666248977032
866,https://www.facebook.com/photo/?fbid=5386868334714046,485876550_9582135988520572_4563744248334121720_n.jpg,0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,82,4.418840607796598
78,https://www.facebook.com/photo/?fbid=2446073208793588,67484024_2446073212126921_4260896303988342784_n.jpg,0,0.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31,3.4657359027997265
743,https://www.facebook.com/photo/?fbid=3178269168907318,106506864_3178269172240651_2322426242135461425_n.jpg,1,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,3.912023005428146
719,https://www.facebook.com/photo/?fbid=2797259637008275,83093204_2797259643674941_4730508427564941312_n.jpg,1,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,4.553876891600541
648,https://www.facebook.com/photo/?fbid=2024485410952372,45103372_2024485414285705_4613841984635797504_n.jpg,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72,4.290459441148391
418,https://www.facebook.com/photo/?fbid=2803035973097308,83236167_2803035976430641_6259812033877770240_n.jpg,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,4.060443010546419
308,https://www.facebook.com/photo/?fbid=892811402880964,491965210_1103725978456171_8219169102344440861_n.jpg,0,0.17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,2.3978952727983707
555,https://www.facebook.com/photo/?fbid=5313145992086281,485304270_9567896386611199_5811641886911358718_n.jpg,1,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,2.302585092994046
639,https://www.facebook.com/photo/?fbid=1976899399044307,42402421_1976899402377640_5283719061606236160_n.jpg,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64,4.174387269895637
789,https://www.facebook.com/photo/?fbid=3905838636150364,160402941_3905838639483697_3925457151142932308_n.jpg,0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60,4.110873864173311
781,https://www.facebook.com/photo/?fbid=3772227659511463,142196048_3772227662844796_5635121411595327539_n.jpg,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,191,5.2574953720277815
289,https://www.facebook.com/photo/?fbid=687661590062614,487672300_1085758996919536_6470476073731772903_n.jpg,1,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,117,4.770684624465665
533,https://www.facebook.com/photo/?fbid=4718690358198517,477576006_9340236836043823_1114749585278192794_n.jpg,0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,3.295836866004329
450,https://www.facebook.com/photo/?fbid=3267177343349833,109800146_3267177346683166_8268541521314268447_n.jpg,0,0.167,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,4.174387269895637
207,https://www.facebook.com/photo/?fbid=4368164883251068,472938894_9140961539304688_5554352625104591344_n.jpg,0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,153,5.0369526024136295
849,https://www.facebook.com/photo/?fbid=4808005045933714,479881989_9368285289905644_686245103315548063_n.jpg,0,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,48,3.8918202981106265
524,https://www.facebook.com/photo/?fbid=4540473576020197,475464173_9263756430358531_2522216978011012691_n.jpg,1,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43,3.784189633918261
840,https://www.facebook.com/photo/?fbid=4705262202874666,476834970_9337324099668430_4296715585783710322_n.jpg,0,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,52,3.970291913552122
135,https://www.facebook.com/photo/?fbid=3302564253144475,117715628_3302564256477808_4973090593446305373_n.jpg,0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,3.713572066704308
83,https://www.facebook.com/photo/?fbid=2559465400787701,71735586_2559465404121034_3577366140164243456_n.jpg,0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,239,5.480638923341991
468,https://www.facebook.com/photo/?fbid=3664532843614279,131589283_3664532846947612_9217990444012927624_n.jpg,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,234,5.459585514144159
554,https://www.facebook.com/photo/?fbid=4667039606696926,477014629_9331465730254267_4807707507015180674_n.jpg,1,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,63,4.1588830833596715
427,https://www.facebook.com/photo/?fbid=2858606437540261,86376447_2858606440873594_1718252587897061376_n.jpg,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,23,3.1780538303479458
433,https://www.facebook.com/photo/?fbid=2893826370684934,88307169_2893826374018267_3779277796904271872_n.jpg,0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,34,3.5553480614894135
599,https://www.facebook.com/photo/?fbid=729086592586780,487998452_1091586673003435_5274785813256549680_n.jpg,0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1.791759469228055
