id,href,img,type,age,gender,size,health,breed_俄羅斯藍,breed_博美,breed_古代牧羊,breed_吉娃娃,breed_哈士奇,breed_巴哥,breed_拉布拉多,breed_挪威納,breed_摺耳貓,breed_暹羅,breed_柯基,breed_柴犬,breed_梗犬,breed_比熊,breed_比特犬,breed_法鬥,breed_波斯貓,breed_牛頭梗,breed_狐狸犬,breed_異國短,breed_秋田,breed_米克斯,breed_約克夏,breed_美短,breed_臘腸,breed_英短,breed_蝴蝶犬,breed_西施,breed_西高地,breed_貴賓,breed_迷你杜賓,breed_迷你貝吉格里芬凡丁,breed_邊牧,breed_金吉拉,breed_阿拉斯加克利凱,breed_雪納瑞,breed_馬爾濟斯,breed_黃金獵犬,color_三花,color_棕,color_灰,color_白,color_米,color_虎斑,color_黃,color_黑,target,target_log
594,https://www.facebook.com/photo/?fbid=709114791250627,488077345_1089502176545218_5884578783871918168_n.jpg,1,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,87,4.477336814478207
798,https://www.facebook.com/photo/?fbid=3978530425547851,170483108_3978530432214517_3800202306892427889_n.jpg,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,41,3.737669618283368
496,https://www.facebook.com/photo/?fbid=3939175782816649,164369330_3939175786149982_2580817331887746740_n.jpg,0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,306,5.726847747587197
715,https://www.facebook.com/photo/?fbid=2740110682723171,80645953_2740110689389837_2198856786914574336_n.jpg,1,5.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47,3.871201010907891
875,https://www.facebook.com/photo/?fbid=5566829543384590,486825587_9611764752224362_2254027273893403490_n.jpg,0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,167,5.123963979403259
697,https://www.facebook.com/photo/?fbid=2421107734623469,67221833_2421107737956802_3065392371895107584_n.jpg,0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,66,4.204692619390966
560,https://www.facebook.com/photo/?fbid=5423829954351217,486089761_9586300811437423_4915648619009405107_n.jpg,0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,114,4.74493212836325
483,https://www.facebook.com/photo/?fbid=3840367179364177,151496680_3840367182697510_9733378473900142_n.jpg,0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,31,3.4657359027997265
27,https://www.facebook.com/photo/?fbid=2014799445254302,44752985_2014799451920968_264573288263450624_n.jpg,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,118,4.77912349311153
913,https://www.facebook.com/photo/?fbid=791761272985978,489754169_1095664072595695_7996650929231779043_n.jpg,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,61,4.127134385045092
920,https://www.facebook.com/photo/?fbid=888249406670497,491159291_1103254585169977_2381674825836199056_n.jpg,0,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,3.688879454113936
199,https://www.facebook.com/photo/?fbid=4262156563851901,469623292_8978895692177941_1740297124879460012_n.jpg,0,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,153,5.0369526024136295
775,https://www.facebook.com/photo/?fbid=3714005598667003,135804839_3714005602000336_1073565314195561443_n.jpg,1,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,251,5.529429087511423
366,https://www.facebook.com/photo/?fbid=2073592902708289,47391864_2073592909374955_2146297197644218368_n.jpg,1,7.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,118,4.77912349311153
484,https://www.facebook.com/photo/?fbid=3864774916923403,155338749_3864774920256736_3335825336733499063_n.jpg,0,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43,3.784189633918261
505,https://www.facebook.com/photo/?fbid=4192178547516370,202723284_4192178550849703_7056935140948763560_n.jpg,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,56,4.04305126783455
